AABB;D,G,K,S,Y
HISV;A,C,E,S
HISW;A,D,G,H,K,M,N,O,P,R,S,T
HITW;C,D,E,F,G,P,S,Y
HIWZ;Z
HIZZ;C,P,W
HJNO;S
HJOS;I,N,O
HKLO;S
HKLU;S,Y
HKNO;E,S,Y
HKNU;C,S,T,Y
HKOO;A,C,S,Y
HKOP;A,S
HKOR;S
HKOW;C,S
HKRU;S
HKSU;A,C,D,L,N,R,S,Y
HLLU;A,O,S,Y
HLMO;A,E,S
HLOO;C,L,N,S,Y
HLOP;X
HLOS;A,C,D,E,F,K,M,O,R,S,T,W
HLOT;A,C,E,I,S,W,Y
HLOW;E,R,S,T
HLOY;E,L,O,T
HLRU;C,S,T,Y
HLSU;A,B,C,E,F,I,K,L,M,N,P,R,S,Y
HLWY;S
HMMM;
HMNY;A,E,P,S
HMOO;C,P,S,Z
HMOR;A,B,E,P,R,S,U
HMOS;A,C,E,L,O,R,T
HMOT;E,N,S,U,Y
HMOW;A,P
HMOY;C,E,T
HMPU;B,C,H,S,T,W,Y
HMSU;A,C,F,L,P,S,T,U,Y
HMTY;E,I,O,S,Y
HNOO;C,E,L,P,R,S,W
HNOP;E,O,S,Y
HNOR;E,I,O,S,T,Y
HNOS;A,C,D,E,F,G,J,K,O,P,R,W,Y
HNOT;C,E,G,M,R
HNSU;A,D,K,L,S,T
HNTU;A,E,K,S
HOOP;C,M,N,S,T,W
HOOR;D,N,S,T
HOOS;B,C,D,F,H,J,K,L,M,N,P,R,S,T,W
HOOT;B,P,R,S,T,W,Y
HOPQ;S
HOPS;A,C,E,K,N,O,Q,S,T,U,W,Y
HOPT;C,E,I,O,R,S
HOPU;C,E,S
HOPW;M,O,S
HOPY;N,P,S
HORS;A,E,F,I,K,L,M,N,O,T,U,W,Y
HORT;A,B,C,E,F,N,O,P,S,T,U,W
HORU;G,I,M,S,T
HOSS;E,G,I,K,L,O,P,T,U,W
HOST;A,C,E,G,I,L,M,O,P,R,S,T,U,W,Y
HOSU;C,E,F,G,P,R,S,T,Y
HOSW;C,D,E,F,I,K,L,N,O,P,R,S,T,W,Y
HOSY;A,D,E,G,N,P,R,T,U,W
HOSZ;D
HOTU;B,C,F,G,M,Q,R,S,Y
HOTW;E,F,L,O,R,S
HOWW;E,S
HPRU;A
HPSU;A,L,M,O,T,W,Y
HPSY;C,E,L,O,S,U
HPTU;M,S
HPUW;A,M,S
HRSU;A,B,C,D,E,F,G,I,K,L,O,Q,T,U,Y
HRTU;F,L,M,O,S,T
HSSU;G,H,I,K,L,M,N,O,T,Y
HSTU;B,C,D,E,G,M,N,O,P,R,S,Y
HSWY;A,E,L,O
IIKP;S
IIKT;S
IIKW;S
IILP;D,E,N,S
IILR;B
IILW;S
IIMN;A,B,E,M,O,R,S
IIMP;R,S
IIMR;A,D,N,P
IIMS;D,H,N,P,S,T
IINS;E,F,M,T
IINT;B,D,L,N,S,W,Y
IIPP;C,S,T
IIPT;P,S
IIRS;D,H,S
IIST;K,M,N,P,T,V,Z
IISW;K,L
IITT;S
IITZ;S,Z
IJKN;A,S
IJKO;S
IJLL;S
IJLT;S
IJMP;Y
IJMS;S
IJNN;A,D,E,I,S
IJNO;G,S,T
IJNS;D,K,N,O
IJNX;
IJOR;A,S
IJOS;A,G,H,K,N,R,S,T
IJVY;E
IJZZ;
IKKL;C,S
IKKN;S,Y
IKKR;S,U
IKLL;R,S
IKLM;A,E,I,O,S,Y
IKLN;A,B,C,E,I,P,S,Y
IKLO;M,S
IKLP;A,N,S,U
IKLR;E,L,S
IKLS;A,B,C,E,F,G,K,L,M,N,O,P,R,S,T,Y
IKLT;A,H,S,U,Y
IKMN;E,S
IKMO;A,B,L,S
IKMR;A,S,Y
IKMS;A,C,E,L,N,O,P,R,S,U
IKNO;B,E,P,S
IKNP;E,L,O,R,S,Y
IKNR;B,D,E,P,S
IKNS;A,B,C,D,E,F,G,H,J,K,L,M,O,P,R,S,T,W,Y
IKNT;A,H,S,W
IKNW;S,T
IKNY;D,H,K,L,P,S,Z
IKOS;A,C,H,J,K,L,M,N,S
IKPP;A,S
IKPS;A,C,E,I,L,M,N,P,S,Y
IKRS;A,B,C,D,E,F,H,K,L,M,N,R,S,T,U,Y
IKRU;A,B,K,Q,S
IKRY;B,E,M,S
IKSS;A,B,C,D,E,F,L,M,N,O,P,R,T,Y
IKST;A,C,E,H,I,L,N,R,S,U
IKTU;L,P,S
ILLL;S
ILLM;A,E,S
ILLN;S
ILLO;E,F,H,S
ILLP;R,S,U
ILLR;B,D,E,F,G,K,P,S,T
ILLS;A,B,C,D,E,F,G,H,J,K,L,M,N,O,P,R,S,T,V,W,Y,Z
ILLT;H,R,S,W,Y
ILLV;A,I,S
ILLW;S,T,Y
ILLY;B,D,F,G,H,S,T,W
ILLZ;A,S
ILMN;A,E,S,U
ILMO;B,E,K,O,R,S
ILMP;A,B,E,F,S,U,Y
ILMS;A,B,C,D,E,F,G,K,L,N,O,P,S,T,U,Y
ILMT;I,S,Y,Z
ILMU;A,B,E,F,H,I,N,P,S
ILMY;B,D,E,F,K,P,R,S,T
ILNN;E,I,S,Y
ILNO;A,C,D,E,G,S,Y
ILNR;E,S,Y
ILNS;A,B,D,E,G,K,L,M,N,O,R,T,Y
ILNT;C,E,F,G,I,S,U,Y
ILNY;A,B,D,E,G,K,N,O,R,S,T,V
ILOO;B,E,F,G,M,P,S,V
ILOP;A,E,O,S,T,U,W,X
ILOR;B,C,D,E,G,M,S,T,V,Y,Z
ILOS;B,C,D,E,F,K,L,M,N,O,P,R,S,T,U,V,Y
ILOT;C,D,E,H,P,R,S,V
ILOV;A,D,E,O,R,S,T
ILOY;D,N,R,S
ILPR;A,E,L,S
ILPS;A,B,C,E,F,I,K,L,M,O,R,S,T,U
ILPU;A,C,G,K,L,M,N,O,P,S,T
ILPY;G,H,M,P
ILRT;A,D,E,F,H,L,O,S,W
ILRV;A,E,O,S
ILST;A,B,C,E,F,G,H,J,K,L,M,N,O,P,R,S,T,U,W,Y
ILSY;B,D,H,K,L,M,N,O,S,T
ILTT;A,E,F,H,S,W
ILTU;B,C,E,G,K,N,P,Q,S
ILTW;L,R,S,T
ILWY;L
IMMO;E,Y
IMMY;J,O,S
IMNO;A,C,E,I,O,R,S,T,U
IMNS;A,B,D,E,G,I,K,L,O,P,T,U
IMNT;A,E,O,S,Y
IMNU;C,L,O,S,X
IMNX;E,U
IMNY;C,E,G,N,T
IMOO;L,N
IMOR;A,C,E,L,N,P,S
IMOS;B,C,D,G,K,L,N,R,S,T,X,Z
IMOT;A,B,F,N,P,S,V
IMOX;A,C,E,S
IMPP;R,S
IMPR;A,C,E,I,O,P,S,Y
IMPS;A,D,G,I,K,L,N,P,R,S,T,U,W
IMPU;E,G,L,O,S,X
IMPW;S,Y
IMQU;A,S
IMRS;A,B,C,E,F,K,O,P,R,S,T,U,V
IMRT;A,E,H,S,U
IMRU;A,D,R,S,T
IMRV;S
IMRY;G,K,L,P
IMSS;A,E,G,H,I,J,K,L,O,P,R,T,U,W,Y
IMST;A,D,E,H,I,L,N,O,P,R,S,T,U,Y
IMSU;C,D,K,L,N,P,Q,R,S,T
IMSV;A,R
IMSW;A,H,P,S
IMTT;S
IMTU;D,F,R,S
IMTX;E
IMTY;A,F,H,L,N,S
IMXY;
IMZZ;U,Y
INNO;A,C,I,N,O,P,R,S,T,U
INNS;E,J,L,O,W
INNW;A,S
INOP;A,D,E,G,K,N,P,R,S,T,W,Y
INOR;A,B,C,D,E,G,H,M,N,P,S,T,Y
INOS;B,C,D,E,F,J,K,L,M,N,P,R,T,V,W,Y,Z
INOT;B,C,D,G,J,M,N,O,P,R,S,X
INOV;A,C,E,S
INOW;D,G,P,S
INOY;C,G,L,P,R,S
INPR;E,K,O,S,T,U
INPS;A,E,G,K,M,O,R,S,T,Y
INPT;A,E,O,R,S,U
INPY;E,K,N,O,P,S
INQS;C,U
INQU;A,E,G,O,S,T
INRS;A,B,D,E,F,G,K,L,O,P,T,U
INRT;A,E,O,P,S,U,Y
INRU;A,B,C,D,E,G,N,P,S,T
INSS;A,B,D,E,G,H,K,P,T,U
INST;A,B,D,E,F,G,H,I,K,L,M,O,P,R,S,T,U,V,W,Y
INSU;A,C,D,G,M,Q,R,S,T
INSV;A,E,O,T
INSW;A,D,E,G,H,K,N,O,T
INSY;A,H,K,L,O,P,T
INSZ;A,C,E,G,O
INTT;A,C,E,S,Y
INTU;A,C,E,F,L,N,P,Q,R,S,W,Y
INTV;S
INTW;A,E,I,K,S,U,Y
INTY;F,G,I,L,M,N,R,S,T,U,W,Y
INVY;E,G,L
INWY;D,E,G,H,T
INXY;A
IOPS;A,C,D,E,L,N,S,T,U,V,Y
IOPT;A,C,H,L,M,N,O,S,T,V
IOPV;S,T
IOPY;D,E,N,S
IORS;B,C,D,E,G,H,J,L,M,N,R,T,V,Z
IORT;A,B,C,D,G,I,L,N,R,S,V,Z
IORV;E,G,L,S,T,Y,Z
IORZ;L,S,T,V
IOSS;A,H,J,K,L,M,P
IOTT;D,P,S
IOVV;
IPPR;E,M,S
IPPS;A,E,I,K,M,R,Y
IPPY;D,G,H,L,N,P,S,T,Y,Z
IPQU;E,O,S,U
IPRS;A,C,D,E,G,L,M,N,P,S,T,U,Y
IPRT;A,D,E,G,H,N,S,W,Y
IPRU;A,N,S
IPSS;A,C,E,F,H,K,L,M,N,O,R,T,V,W,Y
IPST;A,E,H,I,L,M,N,O,R,S,U,Y,Z
IPSV;A,O,S
IPSW;E,H,M,S,Y
IPSY;C,E,G,K,N,O,P,R,S,T,W,X
IPSZ;E,T
IPTT;A,E,O,U
IPTU;D,E,K,L,N,S,T
IPTY;C,E,H,P,R,S
IPXY;E,S
IQTU;B,E,L,N,O,R,S
IQUZ;S
IRRT;E,O,S
IRRY;E,F,S
IRSS;A,B,E,H,I,K,M,P,T,U
IRST;A,B,C,D,E,F,G,H,K,L,M,N,O,P,R,S,T,W
IRTT;A,B,E,F,S
IRTW;E,L,P,S
IRTZ;F,O,Y
IRWY;
ISSS;E,T,W,Y
ISST;A,C,E,F,G,H,K,L,M,N,P,R,S,U,W
ISSW;E,G,H,M,P,S,T
ISTT;A,B,D,F,I,L,M,N,O,R,W
ISTU;A,B,C,D,E,G,K,L,M,N,P,Q,S
ISTW;A,E,F,G,H,L,N,R,S,T
ISTZ;A,E,I,O,P
ISWY;P
ISWZ;E,Z
ISYZ;
ITTW;E,L,S,X,Y
ITVY;S
ITZZ;A,I,Y
IVYZ;
IZZZ;
JJUU;S
JKNU;S,Y
JKOO;C,L,S
JKOU;S
JKOY;C,E
JKUU;S
JLLO;E,S,Y
JLOS;D,E,L,T,W
JLOT;S,Y
JLOW;S,Y
JMOO;N,S
JMPU;S,Y
JNXY;
JORS;I,U
JORU;M,R,S
JOSS;A,I,U
JOST;A,I,L,U
JOSU;A,C,D,G,K,R,S,T,W
JOSW;L,U
JOSY;E
JRUY;
JSTU;E,O,S
KKNO;C,S
KKOO;S,Y
KKUU;S
KLNU;A,B,C,F,P,R,S
KLOO;B,F,J,P,S,Y
KLOP;A,N,O,S,U
KLOS;A,C,E,F,H,I,O,P,S,U,V,Y
KLOU;P,S,Y
KLOV;S
KLOY;E,F,O,S,U,Y
KLPU;A,C,I,N,O,S
KLRU;N,S
KLSU;A,B,C,H,K,L,N,O,P,R,S,Y
KMNO;S
KMOO;S
KMOS;A,C,E,I,N,O,S,Y
KMRU;S,Y
KMSU;C,I,R,S,Y
KNOO;D,R,S,Y
KNOP;A,I,L,R,S
KNOR;A,C,E,O,P,S,T,U
KNOS;A,B,C,E,G,H,I,K,M,O,P,R,T,U,W,Y,Z
KNOT;A,E,R,S,U
KNOW;E,N,S,Y
KNOZ;S
KNPU;A,L,S,Y
KNRU;A,C,D,K,L,O,R,S,T
KNSU;A,B,C,D,E,F,G,H,J,K,L,O,P,R,S,T
KNTU;E,H,O,R,S
KOOP;A,L,S
KOOR;A,B,C,D,I,N,S,Y
KOOS;B,C,D,G,H,J,K,L,M,N,P,R,S,T,Y,Z
KOOT;S,W
KOPR;E,N,S,Y
KOPS;A,C,E,H,L,N,O,R,U
KOPU;E,L,S
KOPY;A,C,E,R
KORS;A,B,C,D,E,F,G,H,N,O,P,T,U,W,Y
KORU;A,D,N,S
KORW;A,E,S
KORY;C,D,E,F,O,P,S
KOSS;A,B,C,E,G,H,I,L,M,O,U
KOSU;B,D,G,J,L,N,P,R,S,T,Y,Z
KOSW;C,G,H,N,R
KOSY;A,B,C,D,E,L,M,N,O,R,U
KOTU;A,N,S
KOUY;C,L,S
KOUZ;S
KPUU;S
KPUY;E,N
KRSU;A,B,C,H,I,L,M,N,O,S,T,U
KRSY;A,E,I,O,S
KRTU;A,C,N,S
KRUU;A,S
KSST;A,E,I,U
KSSU;A,B,C,D,F,G,H,L,M,N,O,R,T
KSTU;A,C,I,N,O,R,S,U,Y
KSUY;B,C,D,E,H,L,M,O,T
KTUU;S,T
KUUZ;D,S
KUYY;C,E,K
LLLO;S,Y
LLLU;S
LLMO;A,S,Y
LLMU;A,S
LLNO;A,K,S
LLNU;A,S
LLOP;R,S,Y
LLOR;A,D,E,P,S,T
LLOT;A,R,S,Y
LLOZ;
LLPU;I,S,Y
LLUU;S
LLUW;S
LLUZ;
LMOO;A,B,G,I,S,T,Y
LMOS;A,D,E,G,H,I,L,O,R,T,U,Y
LMOT;A,E,O,S,U,Y
LMOY;A,C,D,E,L,O,S,T
LMPU;A,B,C,E,F,I,O,P,S,Y
LMRU;A,E,S,Y
LMSU;A,C,E,G,H,I,L,O,P,R,S,T
LMSY;A,E,I,O
LNOO;C,G,H,R,S,Y
LNOR;A,E,O
LNOU;D,E,G,S
LNOW;A,B,C,D,E,F,S
LNOY;A,B,E,F,I,N,O,P,S
LNRU;A,K,S
LNSU;A,E,G,H,K,L,O,R,T,V
LNTU;B,E,I,S
LNUV;S
LNUY;A
LNXY;A
LOOP;A,B,C,G,I,K,R,S,Y
LOOR;B,C,D,F,N,P
LOOS;A,B,C,D,E,F,G,H,I,K,M,N,P,S,T,W
LOOT;C,M,S,T
LOOW;D,S,Y
LOPP;S,U,Y
LOPS;A,C,D,E,F,G,I,K,L,O,P,S,T,U,W,Y
LOPT;A,I,S,U,Z
LOPU;A,E,I,K,M,P,R,S,T
LOPW;I,R,S
LOPY;E,L,N,O,P,S
LORT;A,I,L,S
LORU;C,E,F,P,S,Y
LORY;A,D,F,G,I,R,U,W
LOSS;A,B,D,E,F,G,H,I,K,O,P,T,U,W,Y
LOST;A,B,C,D,E,F,G,H,I,J,L,M,N,O,P,R,S,T,U,V,W,Y
LOSU;A,B,C,D,E,F,I,K,M,N,P,R,S,T,Y
LOSV;A,E,G,I,K,T
LOSW;A,B,C,D,E,F,G,H,J,N,O,P,S,T,Y
LOSY;C,D,E,I,K,L,M,N,P,S,T,U,W
LOSZ;A
LOTT;A,E,O,S
LOTU;B,C,F,G,M,P,S
LOTV;A,E,I,S
LOTW;E,H,S
LOWY;B,D,J,L,O,R,S
LPPU;A,I,M,O,S,Y
LPRU;E,O,S
LPSU;A,C,E,G,H,I,K,L,M,O,P,R,U
LPUU;S
LPUY;A,D,G,L,M,P
LRSU;A,B,C,E,F,G,H,K,M,N,O,P,S,Y
LRUY;B,C,G,H,M,O,R,S,T
LSTU;A,C,E,G,I,L,M,N,O,S,Y
LSUU;A,L,P,S,Z
LSUV;A,N
LTUZ;K
LUUZ;S
MMMU;S,Y
MMOS;A,C,E,U
MMPU;S
MMSU;A,M,O,P,T,U,Y
MMUU;S
MNOO;D,G,I,J,R,S,Y
MNOR;A,E,I,O,S,U
MNOS;A,E,G,I,K,O,R,U
MNOU;D,G,I,R,S,T,V
MNOW;A,E,Y
MNOY;A,E,O,T,W
MNSU;A,B,E,G,I,O,T
MNTU;E,O,S,U
MOOP;C,H,R,S
MOOR;B,E,G,N,P,R,S,T,V,Y
MOOS;B,C,D,E,F,H,J,K,L,N,P,R,S,T,V,Z
MOOT;L,R,S,T
MOOV;E,R,S
MOOZ;H,S
MOPP;S,Y
MOPR;E,H,I,O,S,T,U
MOPS;C,E,O,P,R,T,U,Y
MOPU;I,L,R,S
MOPY;E,M,P,S,Y
MORS;A,B,C,D,E,F,G,H,I,L,N,O,P,T,U,W
MORT;A,E,O,P,S,U
MORU;A,B,C,F,H,J,N,P,R,S,T
MORW;A,E,S,Y
MOSS;A,E,G,I,K,O,T,U,W,Y
MOST;A,B,E,H,I,L,O,P,R,S,T,U,W
MOSU;A,B,C,D,E,L,M,N,P,R,S,T,Y
MOSV;E,O
MOSW;A,B,E,R,S,T
MOSY;A,E,K,L,P,S,U,X
MOTT;E,O,S,Y
MOTU;H,L,N,R,S
MOUV;N
MOXY;S
MOZZ;E
MPPU;L,S
MPRU;C,F,G,O,S,T,Y
MPSU;A,B,D,E,G,H,I,J,L,M,O,P,R,S,T,Y
MPTU;H,R,S,Y
MPTY;E,S,U
MPUY;B,D,H,J,L,R,S,T
MRRU;A,E,I,O,S,Y
MRSU;A,C,D,E,I,K,L,O,P,R,S,T
MRTU;E,H,I,O,P,S
MSSU;A,C,E,G,H,I,K,L,O,P,R,T,Y
MSTU;A,E,H,I,L,M,N,O,P,R,S,T,Y
MSUU;C,H,M
MSUV;
MSUW;A
MSUY;A,H,K,M,O,P,S,T
MTTU;S
MUZZ;I,Y
NNOO;I,S
NNOU;D,I,S,W,Y
NNOW;K,U
NNSU;A,B,O,S,Y
NNWY;E,S
NOOP;A,G,H,R,S
NOOR;B,C,D,E,H,K,L,M,P,S,T
NOOS;B,C,D,E,G,H,K,L,M,N,P,R,T,W,Z
NOOT;C,D,I,R,S,Y
NOOW;H,S
NOOZ;E,G,S
NOPR;A,E,G,I,K,O,S,Y
NOPS;D,E,G,H,I,K,O,R,T,U,W
NOPT;A,E,I,S,U,Y
NOPU;D,J,S,T,Y,Z
NOPW;A,D,I,S,Y
NOPY;A,C,E,G,H,I,L,R,T,U,W
NORS;A,C,E,F,H,I,K,M,O,P,S,T,U,W
NORT;A,C,E,F,H,I,K,O,S
NORU;B,C,D,E,K,M,S,Y
NORW;A,B,C,D,E,F,G,S
NORZ;E
NOSS;B,D,E,G,R,T,W,Y
NOST;A,D,E,F,G,I,K,L,N,O,P,R,S,U,W,Y
NOSU;B,C,D,E,K,L,M,N,P,R,T,W
NOSW;D,E,G,H,I,K,L,O,P,R,S,T,U,Y
NOSY;A,C,D,E,G,H,I,K,L,N,S,T,W
NOTT;A
NOTU;A,C,D,F,G,J,K,M,P,S
NOTW;S,Y
NOTY;A,C,E,J,M,O,P,S,W
NOWY;A,D,K,M,P,S,T
NOXY;
NPSU;A,G,K,O,R,T,U
NPSW;A,O
NPTU;A,I,O,R,S,Y
NPUY;A,K,N,O,T
NRRU;E,K,S
NRSU;A,B,C,D,E,G,I,K,L,O,P,R,T
NRTU;A,B,E,G,I,K,P,S,T,Y
NSSU;B,G,H,I,K,N,T
NSTU;A,B,C,D,E,G,H,I,K,L,M,O,P,R,S,T,Y
NSWY;A,D,E,N,O
NTUY;A,B,I,N,P,R,S,T
NUXY;
OOPP;A,S,Y,Z
OOPR;D,F,I,L,M,N,S,T,Y
OOPS;C,D,F,G,H,K,L,M,N,P,R,S,T,W,Y
OOPT;C,H,I,O,R,S,T
OOPY;B,F,G,L,P,R,S,U,V,W
OORS;A,B,C,D,E,F,G,H,K,M,N,P,T,Z
OORT;A,B,H,M,N,P,R,S,T,U,W,Y,Z
OORZ;A,R,S,T
OOST;B,C,D,E,F,H,K,L,M,N,P,R,S,T,Y
OOSW;D,E,F,H,L,N,P
OOSY;B,E,F,G,K,P,T
OOSZ;B,E,K,M,N,R,U
OOTT;H,L,M,P,R,S
OOTW;H,K,R,Z
OOTY;B,F,H,N,R,S,Z
OOTZ;R,W,Y
OOUZ;S
OOYZ;B,D,E,T,W
OPPR;A,E,S
OPPS;E,L,M,O,R,Y
OPQU;I,S
OPRS;A,B,C,D,E,F,G,K,M,N,O,P,S,T,U,W,Y
OPRT;A,D,E,H,M,O,S,Y
OPRU;A,C,D,G,L,M,S,Y
OPRW;E,L,S
OPRY;A,E,G,K,N,O,S,T,U,X
OPSS;A,C,D,E,H,I,L,O,R,T,U,W,Y
OPST;E,H,I,L,M,N,O,R,S,T,U,W,Y
OPSU;A,C,D,F,H,I,K,L,M,N,Q,R,S,T,Y
OPSW;C,D,H,L,N,O,R,S,T
OPSY;A,C,E,G,H,I,L,M,O,P,R,S,T,U
OPTT;E,I,O,S,U,Y
OPTU;L,N,P,S,T,Y
OPTY;A,E,N,P,R,S,T,U
OPXY;E,R
OPZZ;Y
ORRT;E,I,O,S,Y
ORRY;A,F,L,S,T,W
ORST;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,W,Y
ORSU;A,C,D,E,F,H,J,K,L,M,N,P,S,T,V,Y
ORSV;A,E,I,U,W
ORSW;A,B,C,D,E,F,G,H,K,M,N,P,T,V
ORSY;B,E,G,H,K,P,R,T,U
ORTT;A,E,H,O,S,U
ORTU;B,C,E,G,H,M,O,S,T,Y
ORTV;E,I
ORTW;E,H,O,S
ORTY;A,B,D,E,F,O,P,R,S,U
ORUV;S,W
ORUX;
ORUY;D,G,L,N,P,S,T
ORVW;E,S,U
ORXY;P
OSSS;T
OSST;A,B,C,E,F,H,L,M,N,O,P,R,S,T,U,W,Y
OSSU;C,E,G,H,J,K,L,M,P,R,T
OSSV;
OSSW;B,C,E,F,H,L,M,N,P,T
OSSY;A,B,L,M,N,P,T
OSTT;A,B,C,E,F,H,I,L,M,O,P,R,S,T,U,W,Y
OSTU;A,B,C,D,E,F,G,H,J,K,L,M,N,P,R,S,T,Y
OSTW;D,E,H,L,M,N,P,R,S,T,Y
OSTY;E,F,G,H,L,N,O,P,R,S,T,U,W
OSUY;B,E,H,K,L,M,P,R,T,Z
OSVW;A,R
OSWW;H
OSWY;B,E,H,L,N,T
OTTU;A,C,P,R,S
OTTW;S
OTWY;N,S,Z
PPSU;A,L,M,U
PPTY;I,O,S
PPUU;S
PRRU;E,S
PRSU;A,B,E,G,I,L,M,N,O,R,S,T,U,Y
PRSY;A,E,I,O,T,U
PRTY;A,C,G,I,O,S,U
PSST;A,E,I,O
PSSU;C,D,E,G,M,O,R,Y
PSTU;A,E,H,I,M,N,O,R,T
PSUY;A,C,D,E,H,M,O,R,S
PTTU;I,O,S,Y
PTUZ;
PTYY;E
QSSU;A
RRTU;E,S
RRUU;S
RSTU;A,B,C,D,E,F,G,H,K,M,N,O,P,R,S,T,W,Y
RSUU;B,E,G,H,K,P,R,Y
RSUY;A,C,D,F,G,H,L,O,P,T,U
RTUY;A,E,F,L,N,O,P,S,T
SSSU;E,U
SSUU;B,L,S
SSUW;E,Y
STTU;A,B,F,M,N,O,P,R,U
STUU;K,T
STXY;I,S
SZZZ;
TTUU;B,K,S
TUYZ;O
TUZZ;
UUYZ;S
